year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation2010,2010-02-14,Porto,Vila Nova de Gaia,Oliveira do Douro,Monte da Virgem,41.11258085,-8.597501604999291,NC,206.0,2010-02-14T17:00,8.1,49,-2.0,3.8,0.0,0.0.1,0.0.2,0.0.3,3,1004.1,979.3,85,0,92,100,0.11,0.55,12.6,21.6,87,93,31.7,7.4,5.6,8.5,11.5,0.371,0.382,0.389,0.411,1,3600.0,128.9,47.4,81.6,253.2,128.9.1,262.6,185.0,68.0,117.0,253.2.1,185.0.1,376.8,scientificNames
2010,2010-07-26,Braga,Guimarães,Calvos,SOBREIROS (CALVOS) (Alto dos Sobreiros),41.404291,-8.244651427697441,NC,316.0,2010-07-26T23:00,23.9,47,11.9,22.8,0.0,0.0,0.0,0.0,0,1013.3,977.3,0,0,0,0,0.09,1.58,11.9,17.0,65,84,18.7,24.4,26.2,21.1,16.5,0.098,0.155,0.243,0.349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitis vinifera L.; Tracheophyta; Eucalyptus L'Hér.; Magnoliopsida
2010,2010-07-27,Porto,Santo Tirso,Aves,LARGO DA MARANA (AVES),41.361773,-8.410822947653934,NC,130.0,2010-07-27T14:00,35.2,23,10.6,37.3,0.0,0.0,0.0,0.0,0,1013.3,998.8,0,0,0,0,0.71,4.4,3.4,3.6,342,354,14.0,37.2,26.8,21.9,17.5,0.104,0.16,0.246,0.351,1,3600.0,901.6,798.4,103.2,904.0,901.6,1171.2,926.0,820.0,106.0,904.0,926.0,1202.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Tracheophyta; Pinus pinaster Aiton; Eucalyptus L'Hér.; Vitis vinifera L.; Pinales; Acacia Mill.; 
2010,2010-08-04,Braga,Guimarães,Moreira de Cónegos,L. CERCA(MOREIRA CONEGOS) (CASTELÕES),41.3832257,-8.335183247020549,Desconhecida,174.0,2010-08-04T17:00,29.6,37,13.3,27.4,0.0,0.0,0.0,0.0,1,1014.2,994.5,29,0,0,96,0.5,2.62,22.1,30.9,330,332,46.8,33.9,27.1,23.1,17.9,0.098,0.146,0.227,0.342,1,3600.0,465.8,367.0,98.8,738.7,465.8,660.1,542.0,427.0,115.0,738.7,542.0,768.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta; Magnoliopsida
2010,2010-08-01,Aveiro,Oliveira de Azeméis,Macieira de Sarnes,Pedra Branca,40.905214,-8.4654957,Desconhecida,238.0,2010-08-01T15:00,27.5,51,16.6,28.4,0.0,0.0,0.0,0.0,0,1014.7,987.7,3,0,0,10,0.57,1.78,17.8,22.4,315,318,37.8,33.6,26.2,22.9,17.9,0.106,0.143,0.218,0.346,1,3600.0,741.0,550.3,190.7,695.7,741.0,1050.2,785.0,583.0,202.0,695.7,785.0,1112.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Eucalyptus L'Hér.; Pinus pinaster Aiton; Tracheophyta; Pinales
2010,2010-08-07,Braga,Guimarães,Lordelo,TRAVESSA DO PAÇO (LORDELO) (Travessas),41.3725051,-8.3787227,NC,139.0,2010-08-07T11:00,32.5,23,8.8,33.0,0.0,0.0,0.0,0.0,0,1014.3,998.7,0,0,0,0,0.62,3.76,5.5,7.1,67,75,20.2,32.2,25.7,23.6,18.4,0.102,0.147,0.228,0.342,1,3600.0,853.6,749.8,103.8,893.0,853.6,1116.6,806.0,708.0,98.0,893.0,806.0,1054.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Acacia Mill.; Eucalyptus L'Hér.; Magnoliopsida; Vitis vinifera L.
2010,2010-07-27,Porto,Penafiel,Pinheiro,LG SANTO ANTONIO (Largo de Santo António dos Capuchos),41.1193264,-8.3031666,Desconhecida,204.0,2010-07-27T13:00,34.6,25,11.8,37.5,0.0,0.0,0.0,0.0,0,1013.9,991.2,0,0,0,0,0.71,4.13,2.1,2.5,31,45,18.7,35.6,25.7,21.6,17.3,0.101,0.162,0.252,0.354,1,3600.0,945.0,838.0,107.0,906.0,945.0,1226.6,945.0,838.0,107.0,906.0,945.0,1226.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Vitis vinifera L.; Eucalyptus L'Hér.
2010,2010-06-17,Aveiro,Vale de Cambra,Junqueira,Chã - Junqueira (Junto á estrada),40.8037514,-8.3375148,Desconhecida,748.0,2010-06-17T16:00,20.8,41,7.2,20.8,0.0,0.0,0.0,0.0,0,1013.7,930.0,12,3,15,0,0.45,1.45,2.7,2.9,23,30,16.2,22.0,16.2,14.3,11.7,0.297,0.325,0.334,0.384,1,3600.0,653.6,536.8,116.8,776.9,653.6,915.6,716.0,588.0,128.0,776.9,716.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinus pinaster Aiton; Tracheophyta; Magnoliopsida; Eucalyptus L'Hér.
2010,2010-07-27,Lisboa,Sintra,Almargem do Bispo,Albogas,38.8535566,-9.2574424,Desconhecida,226.0,2010-07-27T13:00,27.7,46,15.2,31.4,0.0,0.0,0.0,0.0,0,1012.9,987.3,0,0,0,0,0.67,1.98,4.3,4.7,185,176,22.7,37.9,26.3,22.1,18.6,0.083,0.168,0.24,0.347,1,3600.0,955.4,843.3,112.2,897.4,955.4,1246.2,954.0,842.0,112.0,897.4,954.0,1244.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Magnoliopsida; Pinus pinaster Aiton; Eucalyptus L'Hér.; Vitis vinifera L.; 
2010,2010-08-01,Lisboa,Torres Vedras,Ramalhal,Ramalhal,39.1395108,-9.2160421,Desconhecida,53.0,2010-08-01T18:00,22.6,67,16.1,20.2,0.0,0.0,0.0,0.0,0,1015.9,1009.7,0,0,0,0,0.26,0.91,30.7,40.9,346,348,49.0,30.4,27.1,24.5,20.2,0.083,0.162,0.231,0.326,1,3600.0,287.0,222.9,64.1,669.5,287.0,442.0,367.0,285.0,82.0,669.5,367.0,565.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Pinus pinaster Aiton; Magnoliopsida; Tracheophyta; Vitis vinifera L.; Pinales; Quercus suber L.; 
2010,2010-08-07,Santarém,Santarém,Abrã,Canal,39.437345,-8.7671161,NC,175.0,2010-08-07T12:00,36.0,22,11.1,38.5,0.0,0.0,0.0,0.0,0,1013.6,994.2,0,0,0,0,0.67,4.62,1.5,1.5,166,166,23.8,39.5,27.4,24.6,20.1,0.071,0.158,0.241,0.343,1,3600.0,922.9,811.8,111.1,893.7,922.9,1208.0,897.0,789.0,108.0,893.7,897.0,1174.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olea europaea L.; Magnoliopsida; Eucalyptus L'Hér.; Tracheophyta; Pinus pinea L.
