ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf,LAT,LON
2012,BL1121076,Florestal,Viseu,Tabuaço,Granja do Tedo,ADORIGO,181906,244181,464262,2012-03-23,12:25:00,2012-03-23,14:25:00,2012-03-23,12:45:00,Populares,PT11071406,0.0,0.27,0.0,0.27,0.27,0,0,0,1,0,0,,,610.0,Desconhecida,Trás-os-Montes,Douro,41.0669589,-7.6136681
2012,RO112323,Florestal,Santarém,Tomar,São João Batista,Casal da Pombinha (Cabeço do Casal),141812,168446,298335,2012-03-22,17:16:00,2012-03-22,18:09:00,2012-03-22,17:27:00,Outros,PT13040812,0.01,0.0,0.0,0.01,0.01,0,0,0,1,0,0,,,,,Ribatejo e Oeste,Ribatejo,39.6045248,-8.4136655
2012,DM2121251,Florestal,Porto,Santo Tirso,Couto (Santa Cristina),S. ROQUE (São Roque),131420,171254,484821,2012-03-22,16:04:00,2012-03-22,17:26:00,2012-03-22,16:07:00,Populares,PT11030420,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,,,,Entre Douro e Minho,Baixo Minho,41.325741,-8.4793533
2012,BL212328,Florestal,Coimbra,Coimbra,Torres do Mondego,Casal da Misarela,60329,180129,359794,2012-03-23,04:06:00,2012-03-23,08:55:00,2012-03-23,04:20:00,Populares,PT12020229,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,Mata do Vale de Canas,,60.0,Desconhecida,Beira Litoral,Centro Litoral,40.1977289,-8.3769032
2012,BL1121068,Florestal,Viseu,Vila Nova de Paiva,Vila Cova à Coelheira,VILA COVA A COELHEIRA,182206,227782,434563,2012-03-23,02:04:00,2012-03-23,02:55:00,2012-03-23,02:20:00,Outros,PT12051306,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,630.0,Desconhecida,Beira Litoral,Dão Lafões,40.9401466,-7.7762141
2012,TM112836,Florestal,Vila Real,Chaves,Sanfins,Polide de Cima,170327,274593,534105,2012-03-22,18:45:00,2012-03-22,21:00:00,2012-03-22,18:55:00,Populares,PT11080427,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,,,,,Trás-os-Montes,Barroso e Padrela,41.7938058,-7.2504316
2012,DM2121256,Florestal,Porto,Vila Nova de Gaia,Seixezelo,RUA SOUTINHO (Rua do Soutinho),131719,164880,452330,2012-03-23,11:15:00,2012-03-23,13:58:00,2012-03-23,11:25:00,Populares,PT11040919,0.35,0.0,0.0,0.35,0.35,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga,41.0340746,-8.5534641
2012,BL312706,Florestal,Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Carvalhal,10206,172494,417809,2012-03-22,19:30:00,2012-03-22,22:30:00,2012-03-22,19:40:00,117,PT12010206,0.22,0.0,0.0,0.22,0.22,0,0,0,1,0,0,,,6.0,Desconhecida,Beira Litoral,Centro Litoral,40.7410269,-8.4455598
2012,DM2121230,Florestal,Porto,Felgueiras,Airães,RUA DAS FONTAINHAS (PINHEIRO),130302,197661,488735,2012-03-22,15:47:00,2012-03-22,16:40:00,2012-03-22,15:55:00,Outros,PT11050702,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,,,Entre Douro e Minho,Tâmega,41.3181033,-8.1960689
2012,BL312715,Florestal,Aveiro,Arouca,Rossas,Bouça Vedra (Bouça),10415,180866,439047,2012-03-22,15:55:00,2012-03-22,17:40:00,2012-03-22,16:20:00,Outros,PT11060115,0.0,0.1,0.0,0.1,0.1,1,0,0,1,0,0,,,711.0,Reacendimento,Entre Douro e Minho,AMP e Entre Douro e Vouga,40.8940749,-8.317524
2012,TM112837,Florestal,Vila Real,Chaves,Eiras,Castelo,170311,276472,545859,2012-03-22,14:05:00,2012-03-22,18:00:00,2012-03-22,14:20:00,Populares,PT11080411,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,Chaves,,,,Trás-os-Montes,Barroso e Padrela,41.7338278,-7.4350091
2012,BL1121047,Florestal,Viseu,Castro Daire,Ribolhos,RIBOLHOS,180321,217171,434695,2012-03-21,23:59:00,2012-03-22,01:28:00,2012-03-22,00:27:00,Populares,PT12050321,0.02,0.03,0.0,0.05,0.05,0,0,0,1,0,0,,,630.0,Desconhecida,Beira Litoral,Dão Lafões,40.88170325,-7.933128916834876
