ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2010,DM2101415,Florestal,Porto,Marco de Canaveses,Vila Boa de Quires,PONTE DA LAGE (Casal da Ponte),130731,192491.0,468637.0,2010-07-09,15:10:00,2010-07-09,17:21:00,2010-07-09,15:15:00,Populares,PT11050931,0.0,0.05,0.0,0.05,0.05,0,0,0,1,0,0,,,,,41.2028475,-8.2047635
2010,DM2101734,Florestal,Porto,Valongo,Alfena,RUA SAO CRISTOVAO (ALFENA),131501,167061.0,474034.0,2010-07-19,10:00:00,2010-07-19,12:17:00,2010-07-19,10:00:00,Populares,PT11040701,0.1,0.0,0.0,0.1,0.1,0,0,0,1,0,0,,,,,41.22144345,-8.47176603571262
2010,DM2102393,Florestal,Porto,Marco de Canaveses,Vila Boa do Bispo,Sardoal,130730,195080.0,461709.0,2010-07-27,20:13:00,2010-07-27,22:11:00,2010-07-27,20:20:00,Populares,PT11050930,0.0,0.8,0.0,0.8,0.8,0,0,0,1,0,0,,,,,41.1332787,-8.2097194
2010,DM2101849,Florestal,Porto,Marco de Canaveses,Soalhães,LG DA TELHE (BANHO E CARVALHOSA),130722,197440.0,474255.0,2010-07-22,11:29:00,2010-07-22,13:11:00,2010-07-22,11:35:00,Populares,PT11050922,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.1603957,-8.0979057
2010,DM210942,Florestal,Porto,Vila Nova de Gaia,Grijó,RUA ENTRE RIOS (Rua de Entre-Águas),131706,169865.0,450904.0,2010-06-26,15:47:00,2010-06-26,16:54:00,2010-06-26,16:00:00,Populares,PT11040906,0.015,0.0,0.0,0.015,0.015,0,0,0,1,0,0,,,,,41.030392250000006,-8.583434430828127
2010,RO310700,Florestal,Setúbal,Montijo,Montijo,FRENTE AO MODELO DO MONTIJO (MONTIJO),150702,126929.0,193621.0,2010-08-02,21:20:00,2010-08-02,21:54:00,2010-08-02,21:27:00,Populares,PT13030502,0.0,0.003,0.0,0.003,0.003,0,0,0,1,0,0,,,,,38.7060845,-8.9746372
2010,RO210856,Florestal,Lisboa,Sintra,Queluz,RAA1 - QUELUZ (ANTIGA QUINTA JAE) (QUELUZ),111107,102518.0,199364.0,2010-07-28,20:00:00,2010-07-28,21:14:00,2010-07-28,20:05:00,Populares,PT13020607,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,610.0,Desconhecida,38.7604252,-9.2559895
2010,DM310557,Florestal,Viana do Castelo,Caminha,Orbacém,ROTUNDA A28 (GONDAR),160213,146326.0,538872.0,2010-07-10,14:14:00,,,,,Populares,PT11010213,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,,,630.0,Desconhecida,41.82611345,-8.781277084003197
2010,RO110452,Florestal,Santarém,Alcanena,Serra de Santo António,SERRA DE STO ANTONIO (SERRA DE EIRA),140209,150931.0,282905.0,2010-07-27,14:24:00,2010-07-27,23:26:00,2010-07-27,14:26:00,Outros,PT13040209,0.0,1.5,0.0,1.5,1.5,0,0,0,0,1,0,,SERRAS DE AIRE E CANDEEIROS,,,39.512984,-8.7297658
2010,DM2102391,Florestal,Porto,Gondomar,Jovim,Quinta das Luzes,130404,167446.0,459115.0,2010-07-27,20:00:00,2010-07-27,23:33:00,2010-07-27,20:06:00,Populares,PT11040204,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.1069301,-8.5093383
2010,RO210824,Florestal,Lisboa,Torres Vedras,Carvoeira,SERRA DE SÃO JULIÃO,111304,104423.0,228161.0,2010-07-27,20:20:00,2010-07-27,23:00:00,2010-07-27,20:37:00,Populares,PT13011304,0.1,0.2,0.0,0.3,0.3,0,0,0,1,0,0,,,610.0,Desconhecida,39.0862473,-9.167073173503926
2010,BL310887,Florestal,Aveiro,Oliveira de Azeméis,Vila de Cucujães,Quinta  Srª da Luz (Quinta),11319,170701.0,435593.0,2010-07-10,14:59:00,2010-07-10,15:51:00,2010-07-10,15:05:00,Populares,PT11060319,0.0,0.015,0.0,0.015,0.015,0,0,0,1,0,0,,,6.0,Desconhecida,40.8704631,-8.4977106
2010,DM2102610,Florestal,Porto,Penafiel,Recezinhos (são Martinho),Regadas,131133,192359.0,474081.0,2010-07-29,09:26:00,2010-07-29,11:35:00,2010-07-29,09:37:00,Populares,PT11051333,0.0,0.2,0.0,0.2,0.2,0,0,0,1,0,0,,,,,41.2726266,-8.2833754
2010,DM2101927,Florestal,Porto,Marco de Canaveses,Vila Boa de Quires,LUG. CIMO DE VILA (Lança Vila),130731,190193.0,456350.0,2010-07-23,17:34:00,2010-07-23,19:13:00,2010-07-23,17:40:00,Populares,PT11050931,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,,,41.2028475,-8.2047635
2010,TM110484,Florestal,Vila Real,Boticas,Codessoso,Secerigo,170207,234578.0,520121.0,2010-07-29,01:53:00,2010-07-29,02:38:00,2010-07-29,02:10:00,Outros,PT11080207,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.6512237,-7.7166707
2010,DM2101845,Florestal,Porto,Vila Nova de Gaia,Pedroso,RUA DO AMIEIRO (Rua dos Amieiros),131713,162533.0,458047.0,2010-07-22,10:15:00,2010-07-22,12:33:00,2010-07-22,10:27:00,Populares,PT11040913,0.08,0.0,0.0,0.08,0.08,0,0,0,1,0,0,,,,,41.064143,-8.5572235
2010,DM2101443,Florestal,Porto,Gondomar,Lomba,RUA DO VISO (Rua do Padre Dehon),130405,164617.0,465695.0,2010-07-10,14:38:00,2010-07-10,17:54:00,2010-07-10,14:50:00,Populares,PT11040205,0.0,0.06,0.0,0.06,0.06,0,0,0,1,0,0,,,,,41.0617409,-8.4108172
2010,DM2102398,Florestal,Porto,Vila do Conde,Retorta,AV. DR FERNANDO GOMES (RIO MAU),131621,154332.0,492798.0,2010-07-27,21:12:00,2010-07-27,23:54:00,2010-07-27,21:27:00,Populares,PT11040821,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,,,,41.3524262,-8.7169326
2010,RO210865,Florestal,Lisboa,Sintra,Mira-sintra,R DAS MERENGAS (Agualva-Cacém),111120,98988.0,200987.0,2010-07-29,12:42:00,2010-07-29,15:32:00,2010-07-29,12:47:00,Outros,PT13020620,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,38.78413805,-9.301270661479826
2010,BL310898,Florestal,Aveiro,Espinho,Espinho,Avenida 32 (GUETIM),10702,160300.0,449729.0,2010-07-11,00:52:00,2010-07-11,01:20:00,2010-07-11,01:00:00,Populares,PT11040102,0.0,0.002,0.0,0.002,0.002,0,0,0,1,0,0,,,6.0,Desconhecida,41.0177316,-8.604145
2010,DM410795,Florestal,Braga,Fafe,Fafe,SOL PONTE (FAFE) (ABOIM),30709,203971.0,508088.0,2010-07-22,14:35:00,2010-07-22,18:00:00,2010-07-22,14:40:00,Populares,PT11030109,45.0,25.0,0.0,70.0,70.0,0,0,0,0,1,0,,,60.0,Desconhecida,41.4468733,-8.180584376446348
2010,TM110563,Florestal,Vila Real,Ribeira de Pena,Cerva,Formoselos,170903,221228.0,502356.0,2010-08-02,19:55:00,2010-08-03,00:20:00,2010-08-02,20:05:00,Populares,PT11051503,0.5,0.0,0.0,0.5,0.5,1,0,0,1,0,0,,,630.0,Desconhecida,41.472873,-7.8475324
2010,RO210682,Florestal,Lisboa,Sintra,Belas,BAIRRO PEDRO LOBO (Bairro Alegre),111104,97817.0,201400.0,2010-07-22,12:29:00,2010-07-22,13:15:00,2010-07-22,12:37:00,Populares,PT13020604,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,610.0,Desconhecida,38.7759197,-9.2639449
2010,DM2101506,Florestal,Porto,Amarante,Real,ERMIDA (BANHO E CARVALHOSA),130127,197440.0,474255.0,2010-07-11,21:25:00,2010-07-11,23:12:00,2010-07-11,21:30:00,PV,PT11050127,0.0,0.17,0.0,0.17,0.17,0,0,0,1,0,0,,,,,41.2668833,-8.072193852545904
2010,BL310875,Florestal,Aveiro,Santa Maria da Feira,Mozelos,Rua do Fundao,10916,163080.0,434527.0,2010-07-10,02:05:00,2010-07-10,02:46:00,2010-07-10,02:15:00,Populares,PT11060216,0.0,1.0032,0.0,1.0032,1.0032,0,0,0,0,1,0,,,6.0,Desconhecida,40.99774985,-8.560747557187135
2010,DM2101430,Florestal,Porto,Amarante,Gondar,Vilela,130117,209760.0,475490.0,2010-07-10,03:25:00,2010-07-10,05:28:00,2010-07-10,03:40:00,Populares,PT11050117,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.2490072,-8.0269415
2010,AG11088,Florestal,Faro,Faro,Estoi,ESTOI,80502,221190.0,14380.0,2010-06-26,20:18:00,2010-06-26,21:24:00,2010-06-26,20:35:00,Populares,PT15010502,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,37.0935546,-7.895623415297575
2010,DM210943,Florestal,Porto,Vila Nova de Gaia,Vilar de Andorinho,RUA BENTO ESPINOSA (Recanto de São Bento),131723,164791.0,453075.0,2010-06-26,15:56:00,2010-06-26,17:28:00,2010-06-26,16:13:00,Populares,PT11040923,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.1032455,-8.5767749
2010,DM2102414,Florestal,Porto,Maia,Nogueira,RUA VILAR DE CIMA (Rua de Vilar de Cima),130610,162941.0,474295.0,2010-07-27,23:30:00,2010-07-28,03:13:00,2010-07-27,23:40:00,Populares,PT11040310,0.0,0.1,0.0,0.1,0.1,0,0,0,1,0,0,,,,,41.2374882,-8.5749281
