latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix
40.03515,-7.8041687,563.0,2019-07-21T12:00,31.5,25,9.4,33.3,0.0,0.0,0.0,0.0,0,1017.8,955.9,0,0,0,0,0.69,3.45,3.6,4.4,127,125,15.1,31.1,23.3,21.3,16.1,0.123,0.16,0.209,0.303,1,3600.0,933.0,832.0,101.0,914.9,933.0,1204.6,956.9,853.3,103.6,914.9,956.9,1235.4,37.360663288411416
40.03515,-7.8041687,563.0,2019-07-22T12:00,33.7,25,11.1,35.4,0.0,0.0,0.0,0.0,0,1016.9,955.5,0,0,0,0,0.71,3.9,5.8,6.9,150,152,28.4,32.9,24.5,21.5,16.2,0.122,0.159,0.208,0.303,1,3600.0,910.0,809.0,101.0,890.9,910.0,1203.1,933.4,829.8,103.6,890.9,933.4,1234.1,42.086934592313796
40.03515,-7.8041687,563.0,2019-07-23T12:00,31.4,38,15.5,34.4,0.0,0.0,0.0,0.0,0,1015.1,953.3,8,0,4,18,0.66,2.83,5.4,6.5,176,177,29.5,33.3,25.8,21.8,16.3,0.122,0.158,0.207,0.302,1,3600.0,861.0,737.0,124.0,812.7,861.0,1201.6,883.2,756.0,127.2,812.7,883.2,1232.6,34.7282556484355
40.03515,-7.8041687,563.0,2019-07-24T12:00,32.2,25,9.9,32.3,0.0,0.0,0.0,0.0,0,1014.1,952.6,0,0,0,0,0.75,3.59,13.0,16.8,208,208,36.4,32.4,25.1,22.0,16.4,0.122,0.158,0.206,0.302,1,3600.0,914.0,813.0,101.0,897.8,914.0,1200.1,937.7,834.0,103.6,897.8,937.7,1231.2,51.716475252230325
40.03515,-7.8041687,563.0,2019-07-25T12:00,26.0,46,13.5,26.8,0.0,0.0,0.0,0.0,1,1015.4,952.5,23,25,0,2,0.6,1.81,13.1,16.8,254,255,35.3,29.1,24.6,22.1,16.5,0.122,0.157,0.205,0.301,1,3600.0,846.0,699.0,147.0,773.1,846.0,1198.5,868.0,717.1,150.8,773.1,868.0,1229.6,32.06954817403376
40.03515,-7.8041687,563.0,2019-07-26T12:00,21.8,45,9.5,19.6,0.0,0.0,0.0,0.0,2,1017.0,953.2,52,46,0,35,0.5,1.42,20.6,28.0,317,318,50.8,25.5,22.7,22.1,16.6,0.123,0.158,0.205,0.301,1,3600.0,748.0,424.0,324.0,469.7,748.0,1196.9,767.5,435.0,332.4,469.7,767.5,1228.1,38.65094771068493
40.03515,-7.8041687,563.0,2019-07-27T12:00,20.9,66,14.2,20.2,0.2,0.2,0.0,0.0,51,1012.1,948.4,82,69,24,20,0.31,0.85,13.7,18.0,305,307,41.8,20.2,20.9,21.9,16.7,0.162,0.153,0.204,0.301,1,1728.08,460.0,106.0,354.0,117.6,460.0,1195.2,472.0,108.8,363.2,117.6,472.0,1226.4,18.00139423244709
40.03515,-7.8041687,563.0,2019-07-28T12:00,26.0,41,11.8,27.2,0.0,0.0,0.0,0.0,0,1012.3,949.6,20,22,0,0,0.62,1.97,8.7,10.5,287,286,27.4,27.1,20.7,21.6,16.8,0.162,0.153,0.204,0.3,1,3600.0,883.0,743.0,140.0,825.7,883.0,1193.5,906.1,762.5,143.7,825.7,906.1,1224.8,30.194091403887363
40.03515,-7.8041687,563.0,2019-07-29T12:00,22.1,46,9.9,21.1,0.0,0.0,0.0,0.0,0,1015.6,951.9,2,2,0,0,0.57,1.44,18.9,25.1,321,322,51.5,24.2,21.1,21.4,16.9,0.15,0.155,0.204,0.3,1,3600.0,909.0,768.0,141.0,854.9,909.0,1191.8,932.9,788.2,144.7,854.9,932.9,1223.1,36.0368886027652
40.03515,-7.8041687,563.0,2019-07-30T12:00,24.2,29,5.2,23.4,0.0,0.0,0.0,0.0,0,1018.2,954.8,0,0,0,0,0.64,2.14,12.1,15.3,348,351,41.4,24.9,20.2,21.2,17.0,0.144,0.156,0.204,0.3,1,3600.0,931.0,827.0,104.0,922.2,931.0,1190.0,955.5,848.8,106.7,922.2,955.5,1221.3,40.67708123189851
40.03515,-7.8041687,563.0,2019-07-31T12:00,27.2,29,7.7,26.8,0.0,0.0,0.0,0.0,1,1014.0,951.5,29,0,0,98,0.55,2.55,6.7,8.5,74,78,23.8,26.1,20.6,21.0,17.0,0.141,0.155,0.204,0.299,1,3600.0,746.0,412.0,334.0,460.2,746.0,1188.2,765.7,422.9,342.8,460.2,765.7,1219.5,36.31610748592
40.03515,-7.8041687,563.0,2019-08-01T12:00,27.6,31,8.8,27.6,0.0,0.0,0.0,0.0,0,1014.2,951.7,0,0,0,0,0.68,2.56,12.0,15.0,311,312,36.7,28.0,21.4,20.9,17.1,0.141,0.155,0.203,0.299,1,3600.0,911.0,808.0,103.0,904.2,911.0,1186.3,935.1,829.4,105.7,904.2,935.1,1217.7,41.61253205188178
40.03515,-7.8041687,563.0,2019-08-02T12:00,29.0,30,9.9,30.2,0.0,0.0,0.0,0.0,0,1015.8,953.5,0,0,0,0,0.67,2.79,6.7,7.8,324,326,28.4,28.6,21.5,20.9,17.2,0.138,0.152,0.202,0.298,1,3600.0,911.0,807.0,104.0,904.8,911.0,1184.4,935.2,828.4,106.8,904.8,935.2,1215.8,36.2926635534517
40.03515,-7.8041687,563.0,2019-08-03T12:00,29.2,39,13.9,30.4,0.0,0.0,0.0,0.0,0,1014.9,952.7,0,0,0,0,0.68,2.45,13.0,15.9,321,321,37.8,29.3,22.4,21.0,17.2,0.134,0.152,0.201,0.298,1,3600.0,893.0,789.0,104.0,886.3,893.0,1182.4,916.7,810.0,106.8,886.3,916.7,1213.8,38.18788894450798
40.03515,-7.8041687,563.0,2019-08-04T12:00,27.4,41,13.0,28.8,0.0,0.0,0.0,0.0,0,1015.8,953.2,0,0,0,0,0.65,2.14,10.6,13.0,298,298,34.2,28.4,22.6,21.0,17.3,0.134,0.153,0.201,0.297,1,3600.0,905.0,802.0,103.0,902.7,905.0,1180.4,929.1,823.4,105.7,902.7,929.1,1211.9,32.72690037080501
40.03515,-7.8041687,563.0,2019-08-05T12:00,28.8,33,10.9,29.9,0.0,0.0,0.0,0.0,0,1015.0,952.7,0,0,0,0,0.67,2.66,8.7,10.4,315,314,32.4,28.8,22.1,21.1,17.4,0.127,0.152,0.199,0.297,1,3600.0,895.0,791.0,104.0,892.1,895.0,1178.4,918.9,812.1,106.8,892.1,918.9,1209.9,36.361039083106334
40.03515,-7.8041687,563.0,2019-08-06T12:00,27.8,44,14.4,29.7,0.0,0.0,0.0,0.0,0,1014.1,951.7,6,0,0,20,0.64,2.09,9.7,11.7,301,304,35.3,28.8,22.7,21.2,17.4,0.123,0.154,0.199,0.297,1,3600.0,880.0,754.0,126.0,852.1,880.0,1176.4,903.5,774.1,129.4,852.1,903.5,1207.8,30.496926927775416
40.03515,-7.8041687,563.0,2019-08-07T12:00,19.4,86,17.0,20.7,0.0,0.0,0.0,0.0,3,1016.1,951.8,100,35,100,99,0.27,0.31,7.8,10.7,248,250,24.5,20.8,22.1,21.2,17.5,0.142,0.154,0.198,0.296,1,612.07,450.0,71.0,379.0,80.4,450.0,1174.3,462.0,72.9,389.1,80.4,462.0,1205.7,13.235574413939927
40.03515,-7.8041687,563.0,2019-08-08T12:00,23.8,70,17.9,24.0,0.2,0.2,0.0,0.0,51,1014.9,951.6,55,61,0,0,0.29,0.89,18.0,24.6,200,201,41.0,24.1,22.0,21.2,17.6,0.155,0.165,0.2,0.296,1,957.68,395.0,81.0,314.0,91.9,395.0,1172.1,405.6,83.2,322.4,91.9,405.6,1203.5,24.118516078517995
40.03515,-7.8041687,563.0,2019-08-09T12:00,21.5,56,12.4,21.6,0.0,0.0,0.0,0.0,3,1018.4,954.4,100,32,100,44,0.52,1.12,15.5,20.5,257,259,39.2,22.4,21.9,21.2,17.6,0.177,0.153,0.198,0.296,1,3600.0,848.0,664.0,184.0,755.2,848.0,1169.9,870.8,681.8,188.9,755.2,870.8,1201.3,27.087377100177644
40.03515,-7.8041687,563.0,2019-08-10T12:00,23.2,41,9.4,23.4,0.0,0.0,0.0,0.0,1,1020.6,956.8,23,0,0,78,0.58,1.66,10.1,12.8,325,328,33.1,25.5,21.0,21.1,17.7,0.166,0.155,0.199,0.296,1,3600.0,866.0,716.0,150.0,816.2,866.0,1167.7,889.3,735.2,154.0,816.2,889.3,1199.0,30.048590288679417
