ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2008,RO2082629,Florestal,Lisboa,Sintra,Almargem do Bispo,SERRA OLELAS (Bairro Serradinho),111103,95237,201020,2008-11-03,21:35:00,2008-11-03,23:02:00,2008-11-03,22:12:00,Populares,PT13020603,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.8491202,-9.264334778649603
2008,RO2082606,Florestal,Lisboa,Vila Franca de Xira,Alverca do Ribatejo,RUA DA BELA VISTA (ALVERCA DO RIBATEJO),111402,121453,214985,2008-10-29,23:41:00,2008-10-30,01:22:00,2008-10-30,00:05:00,Populares,PT13020702,0.0,0.0006,0.0,0.0006,0.0006,0,0,0,1,0,0,,,,,38.8904104,-9.0344661
2008,RO2082631,Florestal,Lisboa,Loures,Bucelas,SERRA DE ALROTA (Bairro Novo do Casal da Serra),110702,109117,211090,2008-11-04,15:03:00,2008-11-04,17:14:00,2008-11-04,15:30:00,Populares,PT13020402,0.0,1.5,0.0,1.5,1.5,0,0,0,0,1,0,,,,,38.9016248,-9.118728
2008,RO2081928,Florestal,Lisboa,Torres Vedras,Torres Vedras (são Pedro E São Tiago),VARATOJO - CASAIS DA CRUZ (VARATOJO),111315,101133,236077,2008-10-02,16:15:00,2008-10-02,17:35:00,2008-10-02,16:34:00,Populares,PT13011315,0.0,0.15,0.0,0.15,0.15,0,0,0,1,0,0,,,,,39.09299855,-9.25866085
2008,RO2082653,Florestal,Lisboa,Loures,Bucelas,Freixial,110702,111411,215880,2008-11-11,15:38:00,2008-11-11,16:36:00,2008-11-11,15:50:00,Populares,PT13020402,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,,,38.9016248,-9.118728
2008,RO2081933,Florestal,Lisboa,Mafra,Milharado,Rolia,110911,108815,218624,2008-10-02,20:03:00,2008-10-02,23:13:00,2008-10-02,20:15:00,Populares,PT13010811,0.0,1.5,0.0,1.5,1.5,0,0,0,0,1,0,,,610.0,Desconhecida,38.9352275,-9.2012529
2008,RO2082520,Florestal,Lisboa,Mafra,Igreja Nova,PENEDO LEXIM (Penedo da Arrifana),110908,98373,217874,2008-10-26,15:57:00,2008-10-26,21:15:00,2008-10-26,16:04:00,Populares,PT13010808,0.0,5.5,0.0,5.5,5.5,0,0,0,0,1,0,,,,,38.9527351,-9.292900922890908
2008,RO2082528,Florestal,Lisboa,Azambuja,Aveiras de Cima,Casais das Inglesas,110303,131063,242642,2008-10-26,18:40:00,2008-10-26,20:16:00,,,117,PT13050303,0.0,0.015,0.0,0.015,0.015,0,0,0,1,0,0,,,,,39.1389557,-8.8999055
2008,RO2081950,Florestal,Lisboa,Vila Franca de Xira,Alhandra,AV AFONSO DE ALBUQUERQUE (ALHANDRA),111401,124038,218329,2008-10-03,08:18:00,2008-10-03,08:53:00,2008-10-03,08:23:00,Populares,PT13020701,0.0,0.0005,0.0,0.0005,0.0005,0,0,0,1,0,0,,,,,38.9257022,-9.009565886369664
2008,RO2081957,Florestal,Lisboa,Lourinhã,Santa Bárbara,REG. PEQUENO (Reguengo Pequeno),110806,104036,257503,2008-10-03,15:53:00,2008-10-03,18:51:00,2008-10-03,16:00:00,Populares,PT13010706,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,39.2125365,-9.320374
2008,RO2082561,Florestal,Lisboa,Loures,Santa Iria de Azoia,QTA DO MARTINHO (Quinta do Conventinho),110713,110587,206439,2008-10-27,19:58:00,2008-10-27,21:53:00,2008-10-27,20:08:00,Populares,PT13020413,0.0,0.07,0.0,0.07,0.07,0,0,0,1,0,0,,,,,38.8460032,-9.0860603
2008,RO2081972,Florestal,Lisboa,Alenquer,Alenquer (santo Estêvão),CASAIS MARINELA JTO CAMPO FUTEBOL (Casais),110111,117358,235938,2008-10-03,21:19:00,2008-10-04,01:09:00,,,Populares,PT13010211,0.0,0.05,0.0,0.05,0.05,0,0,0,1,0,0,,,,,39.0490112,-9.0145622
