year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames,tri,roughness,aspect,slope,CLC_CODE,altitude,mean_elev,fwix,ffmc,dmc,dc,isi,bui
2001,2001-07-29,Coimbra,Pampilhosa da Serra,Pampilhosa da Serra,Algar,40.05028885,-7.93650229531787,Natural,25.022,2001-07-29T15:00,31.1,27,9.9,31.1,0.0,0.0,0.0,0.0,1,1014.4,954.3,24,0,40,1,0.63,3.31,9.4,12.6,86,87,28.4,34.8,24.5,21.0,17.6,0.105,0.162,0.245,0.351,1,3600.0,741.3,619.6,121.7,778.0,741.3,1056.7,786.0,657.0,129.0,778.0,786.0,1120.5,Magnoliopsida; Eucalyptus L'Hér.,46.0,295.25164794921875,295.25164794921875,8.604360580444336,324.0,25.022,25.022,39.06705495700067,92.58855798499935,189.8474188673516,625.564755859375,9.94614959860169,215.89466756575808
2001,2001-08-25,Coimbra,Pampilhosa da Serra,Fajão,ROCHA,40.18248355,-7.874115000616197,Natural,25.022,2001-08-25T02:00,21.7,41,7.8,19.9,0.0,0.0,0.0,0.0,3,1011.9,920.7,88,0,96,100,0.07,1.54,8.7,15.9,163,186,25.2,21.4,23.8,20.4,17.3,0.099,0.144,0.206,0.326,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnoliopsida; Eucalyptus L'Hér.,45.0,42.49093246459961,42.49093246459961,2.4506824016571045,313.0,25.022,25.022,27.24688468289921,89.13014361083951,149.63105787,762.8475546875001,5.866588452888977,200.79717938425048
2001,2001-08-25,Coimbra,Pampilhosa da Serra,Unhais-o-Velho,Aradas,40.1399779,-7.7997981,Natural,25.022,2001-08-25T03:00,23.9,37,8.5,22.0,0.0,0.0,0.0,0.0,2,1011.5,931.4,57,0,51,87,0.09,1.86,10.5,21.9,128,139,35.3,23.0,25.8,22.5,19.2,0.087,0.154,0.227,0.338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinus pinaster Aiton; Magnoliopsida; Eucalyptus L'Hér.,17.0,164.38018798828125,164.38018798828125,3.0328664779663086,243.0,25.022,25.022,36.827086565420416,91.56575347070792,163.01557138800004,775.8775546875,9.098400638952628,213.75420184623863
2001,2001-07-02,Lisboa,Alenquer,Abrigada,Casais da Pedreira,39.1667697,-9.0387852,Natural,121.249,2001-07-02T18:00,21.4,64,14.4,18.9,0.0,0.0,0.0,0.0,0,1020.6,990.4,2,2,0,0,0.26,0.91,27.6,37.6,327,328,53.6,29.9,26.1,21.6,17.2,0.08,0.171,0.247,0.354,1,3600.0,306.6,233.4,73.2,628.7,306.6,491.2,381.0,290.0,91.0,628.7,381.0,610.3,Tracheophyta; Magnoliopsida; Eucalyptus L'Hér.,55.0,128.3825225830078,128.3825225830078,9.68721866607666,323.0,121.249,121.249,41.21236917837437,86.96566983331176,160.365298044,536.9545466308595,11.15326498567176,183.62689638100133
2001,2001-08-28,Vila Real,Alijó,Pegarinhos,Vale de Mir,41.3458395,-7.4680316,Natural,25.022,2001-08-28T17:00,18.4,75,13.9,18.4,0.4,0.4,0.0,0.0,51,1015.0,929.7,41,28,22,10,0.15,0.52,8.4,11.2,263,264,34.2,22.6,21.5,20.7,17.4,0.338,0.17,0.204,0.337,1,3600.0,188.5,85.6,102.9,215.4,188.5,532.9,229.0,104.0,125.0,215.4,229.0,647.5,Magnoliopsida; Pinus pinaster Aiton; Olea europaea L.; Tracheophyta,14.0,161.75692749023438,161.75692749023438,8.585000038146973,243.0,25.022,25.022,0.0457772693220719,44.59167907479842,1.9808604525645328,351.3354899760639,0.1178264203704109,3.9066557319401007
2001,2001-08-25,Vila Real,Vila Pouca de Aguiar,Tresminas,Alto das Fontainhas \ MTE,41.480132,-7.5179742,Natural,25.022,2001-08-25T06:00,19.6,71,14.2,19.8,0.0,0.0,0.0,0.0,2,1012.4,931.5,73,0,74,96,0.05,0.65,7.9,15.7,106,127,19.1,20.3,23.5,20.7,17.4,0.132,0.144,0.202,0.337,1,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0.0,0.0,0.0,0.0,0.0,3.9,Pinus pinaster Aiton; Magnoliopsida; Tracheophyta,15.0,249.75942993164065,249.75942993164065,11.146408081054688,241.0,25.022,25.022,17.99493743015961,85.2725031365102,155.845792694,767.2315546875002,3.257826556493902,206.71689413379207
2001,2001-09-01,Vila Real,Alijó,Pegarinhos,Salgueirinha \ REG,41.3560757,-7.4454014,Natural,25.022,2001-09-01T14:00,24.8,38,9.6,24.3,0.0,0.0,0.0,0.0,0,1015.2,957.3,5,0,0,18,0.57,1.93,12.9,17.2,77,79,34.9,26.7,21.1,21.0,18.7,0.223,0.183,0.201,0.335,1,3600.0,795.9,693.8,102.1,890.7,795.9,1046.4,826.0,720.0,106.0,890.7,826.0,1085.9,Vitis vinifera L.; Magnoliopsida; Pinus pinaster Aiton; Olea europaea L.; Tracheophyta,23.0,113.74295043945312,113.74295043945312,7.455584526062012,242.0,25.022,25.022,20.33859408321032,90.23565510299848,29.891183088,561.50749609375,8.494496916815125,52.76072960227102
2001,2001-09-02,Vila Real,Alijó,Pegarinhos,Vale de Mir,41.3458395,-7.4680316,Natural,25.022,2001-09-02T08:00,14.6,60,7.0,12.3,0.0,0.0,0.0,0.0,0,1017.1,930.6,0,0,0,0,0.13,0.66,10.1,14.4,88,89,27.4,17.0,18.9,20.0,17.7,0.212,0.183,0.203,0.335,1,3600.0,304.4,227.3,77.1,607.4,304.4,502.8,229.0,171.0,58.0,607.4,229.0,378.3,Magnoliopsida; Pinus pinaster Aiton; Olea europaea L.; Tracheophyta,14.0,161.75692749023438,161.75692749023438,8.585000038146973,243.0,25.022,25.022,13.209486057233974,84.06550522041196,59.042797728,647.5654960937501,3.0881533402126333,96.16549632294505
2001,2001-09-06,Vila Real,Alijó,Pópulo,Vale de Cunho,41.376232,-7.4718798,Natural,25.022,2001-09-06T08:00,17.1,48,6.0,15.2,0.0,0.0,0.0,0.0,0,1018.3,948.9,16,4,11,19,0.13,1.02,6.6,9.0,77,74,17.3,19.5,21.2,21.0,18.7,0.164,0.166,0.193,0.331,1,3600.0,263.1,183.9,79.2,505.6,263.1,489.7,196.0,137.0,59.0,505.6,196.0,364.9,Tracheophyta; Magnoliopsida; Pinus pinaster Aiton; Vitis vinifera L.; Olea europaea L.,10.0,151.77560424804688,151.77560424804688,5.147847652435303,242.0,25.022,25.022,16.19658108800773,86.3846371287228,72.99038317108204,682.5319941406251,3.565012189660425,115.18569663949546
2001,2001-09-07,Vila Real,Alijó,Pegarinhos,PEGARINHOS,41.3524307,-7.447476314837632,Natural,25.022,2001-09-07T07:00,13.1,74,8.5,11.5,0.0,0.0,0.0,0.0,0,1021.9,963.6,0,0,0,0,0.03,0.4,8.1,15.0,77,80,23.0,15.4,20.6,21.1,19.0,0.17,0.173,0.199,0.332,1,1886.24,102.5,61.0,41.4,349.4,66.3,235.3,47.0,28.0,19.0,226.3,47.0,107.9,Vitis vinifera L.; Magnoliopsida; Pinus pinaster Aiton; Olea europaea L.; Tracheophyta,29.0,135.90093994140625,135.90093994140625,8.402053833007812,242.0,25.022,25.022,13.21759954678501,83.7799102837482,75.91371274633593,678.9882949218749,2.688064825581296,118.66056493037438
