surface,latitude,longitude,fbupinx,drtcode,dufmcode,ffmcode,fdsrte,fwinx,infsinx
0.0,40.71756869718417,352.96875,93.25,358.0,69.25,77.31055,1.4453125,9.4453125,2.0898438
0.0,40.15594741204222,350.859375,52.0,332.75,32.25,70.24609,0.734375,6.4179688,2.078125
0.0,40.15594741204222,351.5625,65.75,236.75,50.25,68.8418,0.5703125,5.59375,1.5195312
0.0,40.15594741204222,352.265625,96.0,250.75,92.25,76.32422,1.296875,8.8671875,1.9023438
0.0,40.15594741204222,352.96875,122.0,387.25,100.75,83.353516,4.828125,18.644531,4.1601562
0.0,39.594326107545804,350.6666666666667,54.25,348.0,33.75,69.16406,0.765625,6.6015625,2.078125
0.0,39.594326107545804,351.33333333333337,128.75,431.5,102.75,85.23828,8.21875,25.1875,6.1523438
0.0,39.594326107545804,352.0,123.0,322.0,117.5,80.25781,2.921875,14.0546875,2.8476562
0.0,39.594326107545804,352.6666666666667,175.75,371.75,176.0,86.271484,8.2109375,25.179688,5.4023438
0.0,39.594326107545804,353.33333333333337,198.0,427.5,198.5,88.94141,11.625,30.640625,6.9882812
0.0,39.03270478438495,350.6666666666667,101.0,531.75,66.25,74.30078,1.9765625,11.265625,2.4453125
0.0,39.03270478438495,351.33333333333337,163.5,500.5,138.25,86.65625,12.1796875,31.464844,7.65625
0.0,39.03270478438495,352.0,184.25,468.0,181.25,87.49414,11.4375,30.359375,7.0078125
0.0,39.03270478438495,352.6666666666667,181.0,459.5,178.25,84.57031,6.1796875,21.445312,4.265625
0.0,39.03270478438495,353.33333333333337,222.75,572.5,216.75,90.43945,15.46875,36.007812,8.7421875
0.0,38.47108344322056,350.6666666666667,71.25,478.75,43.75,71.078125,1.28125,8.808594,2.3515625
0.0,38.47108344322056,351.33333333333337,166.0,555.5,132.5,85.53906,10.0546875,28.230469,6.4921875
